index,ref,startpos,endpos,number of reads,covbases,coverage,meandepth,meanbaseq,meanmapq,taxid,superkingdom,kingdom,phylum,class,order,family,genus,species,mean,sd,Coefficient of Variance,pcreads,alias
11,NR_025981.1,1,1477,9,1362,92.2139,7.99729,39,2.89,831,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Butyrivibrio,Butyrivibrio fibrisolvens,7.99729180771835,2.57515610693579,0.322003519297676,0.06,WOL-70-DRS-L157
12,NR_026100.1,1,1499,1,1354,90.3269,0.903269,40.1,2,1286362,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lacrimispora,Lacrimispora celerecrescens,0.903268845897265,0.29568998155217,0.32735545225015,0.01,WOL-70-DRS-L157
14,NR_026242.1,1,1422,3,1156,81.294,2.33685,39,15.7,47678,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides caccae,2.33684950773558,1.16712205087081,0.499442538771681,0.02,WOL-70-DRS-L157
15,NR_026312.1,1,1482,3,1344,90.6883,2.43657,41.6,10.3,180164,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Blautia,Blautia schinkii,2.43657219973009,1.03957406575977,0.426654324413174,0.02,WOL-70-DRS-L157
16,NR_026314.1,1,1458,3,1157,79.3553,2.30247,40.6,21.7,53443,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Blautia,Blautia hydrogenotrophica,2.30246913580247,1.21238493106699,0.526558602769043,0.02,WOL-70-DRS-L157
17,NR_026330.1,1,1474,1,1123,76.1872,0.761872,38.7,1,53442,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Eubacteriaceae,Eubacterium,Eubacterium callanderi,0.761872455902307,0.426082131007258,0.559256510333658,0.01,WOL-70-DRS-L157
18,NR_026409.1,1,1495,2,1382,92.4415,1.8408,39.3,1,29370,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lacrimispora,Lacrimispora sphenoides,1.84080267558528,0.534055132043919,0.290120793025312,0.01,WOL-70-DRS-L157
19,NR_026493.1,1,1488,6,1380,92.7419,5.42742,39.4,1,69825,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lacrimispora,Lacrimispora indolis,5.42741935483871,1.57360569901746,0.289936265495044,0.04,WOL-70-DRS-L157
20,NR_027196.1,1,1342,1,1069,79.6572,0.796572,28.8,31,449673,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides stercoris,0.796572280178838,0.402698052476263,0.505538621537086,0.01,WOL-70-DRS-L157
21,NR_027521.1,1,1492,3,1371,91.8901,2.68432,35.9,3,74706,Bacteria,unclassified Bacteria kingdom,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus coagulans,2.6843163538874,0.85356906536617,0.317983781654513,0.02,WOL-70-DRS-L157
22,NR_029097.1,1,1374,227,1283,93.377,206.098,38.2,1.4,237576,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Oribacterium,Oribacterium sinus,206.097525473071,56.7028577746788,0.275126339554657,1.57,WOL-70-DRS-L157
23,NR_029137.1,1,1514,136,1379,91.0832,121.637,38.5,11.1,78257,Bacteria,unclassified Bacteria kingdom,Actinobacteria,Actinomycetia,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium pullorum,121.636723910172,38.600211620899,0.317340112262519,0.94,WOL-70-DRS-L157
24,NR_029207.1,1,1426,33,1418,99.439,31.5666,39.1,4.15,907,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera elsdenii,31.5666199158485,3.46188987105227,0.109669324124062,0.23,WOL-70-DRS-L157
25,NR_029356.1,1,1550,23,1378,88.9032,19.8142,39.6,28.7,292800,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Oscillospiraceae,Flavonifractor,Flavonifractor plautii,19.8141935483871,7.09860858632202,0.358258768846025,0.16,WOL-70-DRS-L157
26,NR_036800.1,1,1481,11,1368,92.37,10.0621,38.2,25.9,411470,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Mediterraneibacter,[Ruminococcus] gnavus,10.0621201890614,2.91828866718224,0.290027212192786,0.08,WOL-70-DRS-L157
27,NR_036853.1,1,1514,2,1371,90.5548,1.79723,40.6,6.5,1683,Bacteria,unclassified Bacteria kingdom,Actinobacteria,Actinomycetia,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium angulatum,1.79722589167768,0.592276991669635,0.32955066717671,0.01,WOL-70-DRS-L157
28,NR_036856.1,1,1517,28,1380,90.969,24.501,39.4,12,78448,Bacteria,unclassified Bacteria kingdom,Actinobacteria,Actinomycetia,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium pullorum,24.5009887936717,7.92358160553906,0.323398442090044,0.19,WOL-70-DRS-L157
29,NR_036928.1,1,1431,2,1152,80.5031,1.56045,37.6,1.5,154046,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Clostridiaceae,Hungatella,Hungatella hathewayi,1.56044723969252,0.797952499491776,0.511361409213046,0.01,WOL-70-DRS-L157
30,NR_037068.1,1,1441,4,1381,95.8362,3.55725,39.3,1,29375,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lacrimispora,Lacrimispora xylanolytica,3.55725190839695,0.911929699089477,0.256357919701119,0.03,WOL-70-DRS-L157
31,NR_040866.1,1,1425,36,1393,97.7544,33.4533,37.7,2.64,820,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides uniformis,33.4533333333333,5.54888557154879,0.165869437172642,0.25,WOL-70-DRS-L157
32,NR_041277.1,1,1490,15,1396,93.6913,13.4443,36.8,3.2,484018,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola plebeius,13.4442953020134,3.66456875276828,0.272574253275996,0.1,WOL-70-DRS-L157
33,NR_041313.1,1,1485,10,1397,94.0741,9.28822,39.1,37.8,338188,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides finegoldii,9.28821548821549,2.38264216222455,0.256523135714019,0.07,WOL-70-DRS-L157
34,NR_041342.1,1,1488,1013,1397,93.8844,933.974,38.7,10.3,823,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,Parabacteroides distasonis,933.973790322581,245.067249842586,0.262391998985265,6.99,WOL-70-DRS-L157
35,NR_041343.1,1,1492,388,1401,93.9008,356.403,38.6,47.5,46503,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,Parabacteroides merdae,356.402815013405,94.8522410095398,0.266137743625769,2.68,WOL-70-DRS-L157
36,NR_041351.1,1,1493,234,1400,93.7709,213.614,38.4,36,357276,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola dorei,213.61352980576,56.5780440764203,0.26486170668996,1.61,WOL-70-DRS-L157
37,NR_041446.1,1,1456,50,1380,94.7802,45.8908,37.3,6.8,376804,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola barnesiae,45.8907967032967,11.7483240502745,0.256006103494614,0.34,WOL-70-DRS-L157
38,NR_041461.1,1,1492,13,1399,93.7668,11.9591,38.9,8.31,387090,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola coprophilus,11.9591152815013,3.21241158904318,0.268616157084146,0.09,WOL-70-DRS-L157
39,NR_041464.1,1,1492,14,1399,93.7668,12.1079,37.9,4,387661,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,Parabacteroides johnsonii,12.107908847185,3.57853600935124,0.295553596786717,0.1,WOL-70-DRS-L157
40,NR_041590.1,1,1342,355,1207,89.9404,312.225,39,14.5,742816,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas funiformis,312.225037257824,107.968171487014,0.345802413654153,2.45,WOL-70-DRS-L157
41,NR_041668.1,1,1484,4,1380,92.9919,3.48248,39,13.2,742726,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Barnesiellaceae,Barnesiella,Barnesiella intestinihominis,3.48247978436658,1.11101409041416,0.319029587882085,0.03,WOL-70-DRS-L157
42,NR_042152.1,1,1456,3,1148,78.8462,2.31387,40.6,0.333,168384,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Marvinbryantia,Marvinbryantia formatexigens,2.31387362637363,1.22560308536261,0.529675895603431,0.02,WOL-70-DRS-L157
43,NR_042499.1,1,1368,5,1307,95.5409,4.70249,38.6,13.6,657309,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides xylanisolvens,4.70248538011696,1.06617597022888,0.226726057402939,0.03,WOL-70-DRS-L157
44,NR_042745.1,1,1493,405,1399,93.704,370.061,38.4,3.75,204516,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola massiliensis,370.060951105157,98.6657485077036,0.266620264075543,2.79,WOL-70-DRS-L157
45,NR_043017.1,1,1413,2,1362,96.3907,1.58386,36,1,1203608,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides nordii,1.58386411889597,0.561584225840658,0.354565912025402,0.01,WOL-70-DRS-L157
46,NR_043142.1,1,1465,8,1365,93.1741,7.06348,38.4,16.1,292800,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Oscillospiraceae,Flavonifractor,Flavonifractor plautii,7.06348122866894,2.09558087036611,0.296678196278156,0.06,WOL-70-DRS-L157
47,NR_043657.1,1,1553,33,1428,91.9511,26.6246,39.8,5.3,349095,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera paucivorans,26.624597553123,10.5582619104915,0.396560432112636,0.23,WOL-70-DRS-L157
48,NR_043681.1,1,1420,1,1199,84.4366,0.844366,36.1,12,358743,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Enterocloster,Enterocloster citroniae,0.844366197183099,0.362635534748517,0.429476613296826,0.01,WOL-70-DRS-L157
49,NR_044270.1,1,1454,7,1367,94.0165,6.31843,38.8,1,439703,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella maculosa,6.31843191196699,1.69643284399673,0.268489534687194,0.05,WOL-70-DRS-L157
50,NR_044473.1,1,1399,16,1364,97.4982,15.1494,37.5,28.4,491921,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas rupellensis,15.1493924231594,2.60841833245933,0.172179732335124,0.11,WOL-70-DRS-L157
51,NR_044490.1,1,1482,1,1343,90.6208,0.906208,33.4,35,501571,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Clostridiaceae,Butyricicoccus,Butyricicoccus pullicaecorum,0.906207827260459,0.291637774447936,0.321822175526315,0.01,WOL-70-DRS-L157
52,NR_044657.2,1,1470,203,1384,94.1497,181.343,39.2,37.2,2153,Bacteria,unclassified Bacteria kingdom,Tenericutes,Mollicutes,Anaeroplasmatales,Anaeroplasmataceae,Asteroleplasma,Asteroleplasma anaerobium,181.342857142857,53.3916849498452,0.294423975617549,1.4,WOL-70-DRS-L157
53,NR_044688.3,1,1456,1,1362,93.544,0.93544,37.4,1,852,Bacteria,unclassified Bacteria kingdom,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,Fusobacterium perfoetens,0.93543956043956,0.245833065312432,0.262799517690823,0.01,WOL-70-DRS-L157
54,NR_044771.1,1,1488,2,1103,74.1263,1.47513,40.8,0,1681,Bacteria,unclassified Bacteria kingdom,Actinobacteria,Actinomycetia,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium bifidum,1.47513440860215,0.875996875932268,0.593842073524927,0.01,WOL-70-DRS-L157
55,NR_044820.1,1,1333,4,1157,86.7967,3.43886,37.9,1,861,Bacteria,unclassified Bacteria kingdom,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,Fusobacterium ulcerans,3.43885971492873,1.36347327052438,0.396489936651178,0.03,WOL-70-DRS-L157
56,NR_074140.1,1,1451,1,1140,78.5665,0.785665,36.1,1,28112,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Tannerella,Tannerella forsythia,0.78566505858029,0.410501655436597,0.522489387753072,0.01,WOL-70-DRS-L157
57,NR_074376.1,1,1497,81,1395,93.1864,74.0548,37.8,2.6,435591,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,Parabacteroides distasonis,74.0547762191049,20.3877438468424,0.275306265007425,0.56,WOL-70-DRS-L157
58,NR_074515.1,1,1510,802,1401,92.7815,726.334,38.4,24.7,435590,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola vulgatus,726.333774834437,210.264968653203,0.289488078261446,5.53,WOL-70-DRS-L157
59,NR_074546.1,1,1513,1,1373,90.7469,0.907469,42.5,1,290053,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides helcogenes,0.907468605419696,0.289870438079143,0.319427511153491,0.01,WOL-70-DRS-L157
60,NR_102852.1,1,1519,1,1353,89.0718,0.890718,40.3,1,84030,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lacrimispora,Lacrimispora saccharolytica,0.890717577353522,0.312095976337046,0.350387130861768,0.01,WOL-70-DRS-L157
61,NR_102861.1,1,1512,1,1088,71.9577,0.719577,39.2,0,717959,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes shahii,0.71957671957672,0.449354658298799,0.624470811900537,0.01,WOL-70-DRS-L157
62,NR_102980.1,1,1552,150,1423,91.6881,133.273,39,2.92,1064535,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera elsdenii,133.272551546392,41.3850291620839,0.310529277648578,1.03,WOL-70-DRS-L157
63,NR_104700.1,1,1493,2,1360,91.0918,1.79303,37.9,1,1532,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Blautia,Blautia coccoides,1.79303415941058,0.58525650024956,0.326405661140304,0.01,WOL-70-DRS-L157
64,NR_104735.1,1,1511,6,1371,90.7346,5.32495,38.3,5.33,45851,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Butyrivibrio,Butyrivibrio crossotus,5.32495036399735,1.77388139760425,0.333126372331597,0.04,WOL-70-DRS-L157
65,NR_104803.1,1,1521,3,1382,90.8613,2.71072,40.1,3.33,39482,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Faecalicatena,Faecalicatena contorta,2.71071663379356,0.868572376339612,0.32042167945975,0.02,WOL-70-DRS-L157
66,NR_104851.1,1,1449,1,1279,88.2678,0.882678,39.9,1,40545,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Betaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella,Sutterella wadsworthensis,0.882677708764665,0.321915033840338,0.364702802216302,0.01,WOL-70-DRS-L157
67,NR_104899.1,1,1480,2,1354,91.4865,1.79865,36.1,1,384636,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Clostridiaceae,Hungatella,Hungatella xylanolytica,1.79864864864865,0.575589357426122,0.320012114571999,0.01,WOL-70-DRS-L157
68,NR_112143.1,1,1397,30,1363,97.5662,26.2885,38.2,20.9,821,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola vulgatus,26.2884753042233,6.40618570006996,0.243687989734451,0.21,WOL-70-DRS-L157
69,NR_112668.1,1,1472,4,1383,93.9538,3.68274,37.6,1,732242,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola paurosaccharolyticus,3.68274456521739,0.985566024587681,0.267617264009051,0.03,WOL-70-DRS-L157
70,NR_112779.1,1,1515,1,1350,89.1089,0.891089,41.3,1,1150460,Bacteria,unclassified Bacteria kingdom,Actinobacteria,Actinomycetia,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium catenulatum,0.891089108910891,0.311630245887834,0.349718387051902,0.01,WOL-70-DRS-L157
71,NR_112899.1,1,1491,29,1357,91.0127,25.0074,37.2,4.48,742742,Bacteria,unclassified Bacteria kingdom,Actinobacteria,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Collinsella,Collinsella tanakaei,25.0073775989269,8.3470413858397,0.33378315470383,0.2,WOL-70-DRS-L157
72,NR_112901.1,1,1469,21,1353,92.1035,18.2029,39.2,9.57,762983,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Succinatimonas,Succinatimonas hippei,18.2028590878148,5.81161736973461,0.319269480783102,0.14,WOL-70-DRS-L157
73,NR_112931.1,1,1490,5,1394,93.557,4.38926,37.2,9.2,85831,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides acidifaciens,4.38926174496644,1.27544042562875,0.290581992994929,0.03,WOL-70-DRS-L157
74,NR_112932.1,1,1478,420,1385,93.7077,387.062,38.5,52.9,47678,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides caccae,387.062246278755,100.729970358701,0.26024230295547,2.9,WOL-70-DRS-L157
75,NR_112933.1,1,1473,2,1381,93.7542,1.82621,38.3,1,246787,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides cellulosilyticus,1.82620502376103,0.518351068504069,0.28384056650799,0.01,WOL-70-DRS-L157
76,NR_112935.1,1,1488,23,1395,93.75,21.2681,37.8,56.2,28111,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides eggerthii,21.2681451612903,5.59229042757904,0.262942084754878,0.16,WOL-70-DRS-L157
77,NR_112938.1,1,1478,614,1387,93.843,566.637,38.8,5.36,204516,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola massiliensis,566.637347767253,147.465584427889,0.26024684925721,4.24,WOL-70-DRS-L157
78,NR_112940.1,1,1459,27,1384,94.8595,25.355,37.8,13.9,28116,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides ovatus,25.3550376970528,5.93495206527369,0.234073880551302,0.19,WOL-70-DRS-L157
79,NR_112943.1,1,1476,198,1383,93.6992,181.971,38.6,51.4,449673,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides stercoris,181.970867208672,47.4263585961237,0.260626106385141,1.37,WOL-70-DRS-L157
80,NR_112944.1,1,1461,24,1381,94.5243,22.3279,39.3,30.8,818,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides thetaiotaomicron,22.3278576317591,5.46482877662234,0.244753834727483,0.17,WOL-70-DRS-L157
81,NR_112945.1,1,1477,834,1386,93.8389,769.635,38.7,13.8,820,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides uniformis,769.635071090047,200.641502188908,0.2606969325147,5.75,WOL-70-DRS-L157
82,NR_112946.1,1,1489,453,1398,93.8885,415.755,38.3,4.92,821,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola vulgatus,415.754869039624,110.346861259324,0.26541327468809,3.12,WOL-70-DRS-L157
83,NR_112947.1,1,1465,27,1383,94.4027,25.144,38.4,20.7,657309,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides xylanisolvens,25.1440273037543,6.16644200441304,0.245244802271286,0.19,WOL-70-DRS-L157
84,NR_113015.1,1,1490,12,1384,92.8859,10.855,37.9,2.92,1236538,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola sartorii,10.855033557047,3.1476629265977,0.289972657390291,0.08,WOL-70-DRS-L157
85,NR_113064.1,1,1490,504,1403,94.1611,460.552,39,1.01,1236538,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola sartorii,460.551677852349,130.424611411305,0.283192131704966,3.48,WOL-70-DRS-L157
86,NR_113065.1,1,1488,8,1395,93.75,6.95565,38.3,14.8,762984,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides clarus,6.95564516129032,1.93002548506388,0.277476127707735,0.06,WOL-70-DRS-L157
87,NR_113067.1,1,1475,2,1381,93.6271,1.80136,41.4,1,1077285,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides faecis,1.80135593220339,0.535571372274757,0.297315684646318,0.01,WOL-70-DRS-L157
88,NR_113071.1,1,1493,16,1400,93.7709,14.0643,39.2,1,1236498,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola paurosaccharolyticus,14.0643000669792,4.01286697215008,0.285322906439664,0.11,WOL-70-DRS-L157
89,NR_113072.1,1,1488,15,1395,93.75,13.4772,39,2.67,1236512,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides rodentium,13.4771505376344,3.62454673262746,0.268940138533443,0.1,WOL-70-DRS-L157
90,NR_113073.1,1,1481,44,1388,93.7205,40.158,39.6,6.34,487174,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Barnesiellaceae,Barnesiella,Barnesiella intestinihominis,40.1580013504389,10.5033143959418,0.261549729636308,0.3,WOL-70-DRS-L157
